1A-El-AHU,1A-Th-Chilled Water,1B-El-AHU,1B-OAT-1,1B-Th-Chilled Water,DHI,DNI,GHI,Date,Time
,,,,,0.649385928246193,0.6970495896206962,0.7912546498907937,2020-10-04,00:00
,,,,,-0.13793524467231086,0.33205092829690946,0.5870010061939757,2020-10-04,00:15
,,,,,-0.38712203820856905,-0.09787315004117167,0.12453372385611555,2020-10-04,00:30
,,,,,0.2308318787725598,0.2571620034009573,0.6214901162754922,2020-10-04,00:45
,,,,,0.6703253226147756,0.5439147452513377,0.9190390790502225,2020-10-04,01:00
,,,,,0.7584151821831856,0.7427126003636252,1.043302584687869,2020-10-04,01:15
,,,,,0.2471891407958338,0.41475397604776354,0.9112521347538056,2020-10-04,01:30
,,,,,0.7226015998257531,0.5279046981129797,0.8758629086944792,2020-10-04,01:45
,,,,,0.3239588843555087,0.37999058508624634,0.7812323479188815,2020-10-04,02:00
,,,,,0.7484830083118548,0.715279722544882,1.2173419369591618,2020-10-04,02:15
,,,,,1.53315666093905,0.846439980963866,1.75717093710684,2020-10-04,02:30
,,,,,1.057575733462969,0.7831718531747663,1.040706929523085,2020-10-04,02:45
,,,,,1.6117395738760627,1.3220779750082226,1.6865644560919866,2020-10-04,03:00
,,,,,-0.03802786273364411,0.6355631828308106,0.4239010405933692,2020-10-04,03:15
,,,,,-1.4307702730927205,-0.3731578213783603,-0.8903887128612643,2020-10-04,03:30
,,,,,0.7796514066505346,0.4006359422268967,0.6061694906403624,2020-10-04,03:45
,,,,,-0.6339421177696856,-0.09837655359620424,-0.16807017143453545,2020-10-04,04:00
,,,,,1.8153731487018783,0.9068856391641826,1.7234275277704008,2020-10-04,04:15
,,,,,1.7197098026673006,1.1768732170263918,1.807307059235042,2020-10-04,04:30
,,,,,-0.45975204039778933,0.3222231686115264,0.2286789324962429,2020-10-04,04:45
,,,,,2.31584069646067,1.2123210188829234,2.173825462576416,2020-10-04,05:00
,,,,,-1.4980490803718576,-0.11592510819642074,-0.944635267162488,2020-10-04,05:15
,,,,,-0.15511997785005244,-0.009564742575296077,-0.2086179402113583,2020-10-04,05:30
,,,,,0.9318912468022772,0.5201810704130264,1.029636549377917,2020-10-04,05:45
,,,,,0.4499723145324324,0.48602289342217997,0.7306131356395775,2020-10-04,06:00
,,,,,-0.20664212240889265,-0.002500068479114085,-0.1024011290580448,2020-10-04,06:15
,,,,,0.3520144645383378,0.37151750427567287,0.6280728108353084,2020-10-04,06:30
,,,,,0.8835621469550662,0.2738988837253095,0.9987426271041234,2020-10-04,06:45
,,,,,4.849964523315431,0.5510303248961768,5.0263756937450825,2020-10-04,07:00
,,,,,13.604435888926183,1.3778854966163647,13.827648809221062,2020-10-04,07:15
,,,,,19.043029986487504,0.7543984393278759,19.575131087832986,2020-10-04,07:30
,,,,,26.487754228380005,6.077134503920872,28.269802432590062,2020-10-04,07:45
,,,,,32.08557603624131,505.49086250729033,138.92643979390473,2020-10-04,08:00
,,,,,37.526320139567055,628.0551072862414,192.9938590155708,2020-10-04,08:15
,,,,,41.59956173366971,673.3172743055555,236.79314592149518,2020-10-04,08:30
,,,,,44.20774366590711,714.5031684027778,278.9991465250651,2020-10-04,08:45
,,,,,47.537323760986325,742.8669047037761,323.21819118923605,2020-10-04,09:00
,,,,,49.61204037136502,769.1674886067708,370.1062313503687,2020-10-04,09:15
,,,,,51.89329545762804,791.6796278211806,419.3178361680772,2020-10-04,09:30
,,,,,54.29582960340712,808.6148946126301,468.62255723741333,2020-10-04,09:45
,,,,,55.91838400099012,824.2008653428821,517.7561123318143,2020-10-04,10:00
,,,,,56.83690164354114,837.0989318847656,564.1158684624567,2020-10-04,10:15
,,,,,57.34657893710666,852.2152364095053,609.2308064778646,2020-10-04,10:30
,,,,,59.18379821777342,862.5161315917969,650.0125155978732,2020-10-04,10:45
,,,,,59.10336197747124,869.7451151529948,683.3670064290363,2020-10-04,11:00
,,,,,59.80761557685005,877.4171956380208,714.1332838270401,2020-10-04,11:15
,,,,,60.16014412773978,885.0512986924915,741.7616956922742,2020-10-04,11:30
,,,,,61.37502937316894,888.7589755588108,763.5695990668404,2020-10-04,11:45
,,,,,62.49548717074923,890.1154866536458,780.8710483127169,2020-10-04,12:00
,,,,,63.7440119849311,892.0424641927083,795.009750705295,2020-10-04,12:15
,,,,,63.198465516832144,892.4438137478298,801.1495869954427,2020-10-04,12:30
329.8473155395834,-3884.5295846415156,354.8682969881943,,-3569.4423834920103,63.55741928948295,894.8414727105034,804.5325127495661,2020-10-04,12:45
330.63756116111114,-4087.7670211843383,355.86167846388895,,-3761.9182090146955,62.646884494357636,897.2354580349394,804.36136203342,2020-10-04,13:00
331.24268757000016,-4105.722918822814,356.326637866111,,-3781.3074475620356,62.87854160732693,897.8663058810763,799.7013637966579,2020-10-04,13:15
331.8609409455554,-4016.6175256771835,356.9313448516667,,-3704.8482272284687,64.7492884741889,895.9954867892793,788.3532545301649,2020-10-04,13:30
332.11879613666656,-4447.630161990094,357.6080116222222,,-4155.516111092151,63.51436144510905,893.3989766438802,770.8580247667101,2020-10-04,13:45
332.3581314450001,-3931.1023158190164,358.01524887888877,,-3607.468765026838,62.2923834906684,889.8684441460501,748.3217936197914,2020-10-04,14:00
332.4368274972223,-4417.792956374075,358.11409349999997,,-4073.2629752102353,62.52136120266386,883.7350423177083,722.6370978461371,2020-10-04,14:15
332.84918948277766,-4151.788966156625,358.39005128388885,,-3755.5574543170133,61.994313600328226,877.6137654622398,691.5941182454427,2020-10-04,14:30
